train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,time/episodes,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates
0.018547985702753067,1.0489861965179443,0.029607143253087997,8.739909172058105,4,644,0.0003,-28.175709750000003,19,32,161.0,68152
0.02336900308728218,2.828770637512207,0.02020716853439808,6.8512372970581055,8,1288,0.0003,-19.661950500000003,40,31,161.0,68796
0.027780571952462196,3.50424861907959,0.025012202560901642,4.666057586669922,12,1932,0.0003,-16.184386583333332,61,31,161.0,69440
0.031325049698352814,4.191534996032715,0.02490738034248352,3.0666236877441406,16,2576,0.0003,-14.614968875,81,31,161.0,70084
0.03492407873272896,4.69205379486084,0.041551798582077026,2.6944801807403564,20,3220,0.0003,-13.45509965,102,31,161.0,70728
0.03683685511350632,5.205869674682617,0.024046484380960464,1.305039644241333,24,3864,0.0003,-12.911904458333334,123,31,161.0,71372
0.03702910616993904,5.929513454437256,0.021462373435497284,-0.8213338255882263,28,4508,0.0003,-12.549698714285714,144,31,161.0,72016
0.03577164188027382,6.232537746429443,0.01699076220393181,-0.707767903804779,32,5152,0.0003,-12.208997312500001,165,31,161.0,72660
0.033695679157972336,6.236784934997559,0.013219490647315979,-0.5219212174415588,36,5796,0.0003,-11.800478777777778,187,30,161.0,73304
0.03115270473062992,6.796865463256836,0.02736666239798069,-0.9793230891227722,40,6440,0.0003,-11.366485875,209,30,161.0,73948
0.02948496676981449,6.71204948425293,0.01240338385105133,0.555945873260498,44,7084,0.0003,-10.908033454545453,230,30,161.0,74592
0.029242485761642456,7.107673645019531,0.0302177295088768,-0.13885831832885742,48,7728,0.0003,-10.516939979166667,252,30,161.0,75236
0.028874319046735764,6.729572296142578,0.012166542932391167,0.3861842453479767,52,8372,0.0003,-10.177667134615383,273,30,161.0,75880
0.028155559673905373,7.2685160636901855,0.010430273599922657,-0.28324437141418457,56,9016,0.0003,-9.84656080357143,295,30,161.0,76524
0.026741275563836098,7.110454559326172,0.9547052383422852,0.8224585652351379,60,9660,0.0003,-9.530072716666666,316,30,161.0,77168
0.025940869003534317,7.140508651733398,0.0072446344420313835,0.39831626415252686,64,10304,0.0003,-9.224123703125,337,30,161.0,77812
0.025584962218999863,7.658536911010742,0.007549285423010588,0.5113041400909424,68,10948,0.0003,-8.934848279411767,358,30,161.0,78456
0.024582941085100174,6.7662272453308105,0.006023074500262737,-0.31769806146621704,72,11592,0.0003,-8.700878125,379,30,161.0,79100
0.022962022572755814,7.088399887084961,0.009499678388237953,0.6572301983833313,76,12236,0.0003,-8.476958776315788,400,30,161.0,79744
0.022727932780981064,6.855306625366211,0.005831967107951641,0.35818904638290405,80,12880,0.0003,-8.2592471125,422,30,161.0,80388
0.02212061733007431,6.785461902618408,0.005274908617138863,-0.18144108355045319,84,13524,0.0003,-8.04123519047619,443,30,161.0,81032
0.021475424990057945,6.802164554595947,0.0073171048425138,0.21203048527240753,88,14168,0.0003,-7.846483920454546,464,30,161.0,81676
0.020780861377716064,6.376630783081055,0.006727063562721014,-1.7025054693222046,92,14812,0.0003,-7.6599553260869575,486,30,161.0,82320
0.020058922469615936,6.384975433349609,0.0035928324796259403,-1.2852301597595215,96,15456,0.0003,-7.491323989583333,507,30,161.0,82964
0.01974855363368988,6.3855695724487305,0.004315690137445927,0.012112915515899658,100,16100,0.0003,-7.355782239999999,530,30,161.0,83608
0.019128993153572083,6.265626907348633,0.00347606698051095,0.44121402502059937,104,16744,0.0003,-6.354152730000002,555,30,161.0,84252
0.019030677154660225,6.045650959014893,0.003687017597258091,-0.5401702523231506,108,17388,0.0003,-6.04367197,578,30,161.0,84896
0.0183415524661541,6.393992900848389,6.758011341094971,0.15903711318969727,112,18032,0.0003,-5.8041323600000005,600,30,161.0,85540
0.018050065264105797,5.85707950592041,0.0036092312075197697,0.3865150213241577,116,18676,0.0003,-5.52896997,622,30,161.0,86184
0.01755339838564396,5.848787784576416,0.0040243566036224365,-0.6415001153945923,120,19320,0.0003,-5.30435198,643,30,161.0,86828
0.01728244498372078,5.47385835647583,0.003963954281061888,0.35942530632019043,124,19964,0.0003,-5.013770910000001,664,30,161.0,87472
